#{"t_start": 1774199343.3682072, "env_id": "None"}
r,l,t
-21.0,228,3514.289243
-21.0,238,3519.3393
-21.0,239,3524.650207
-21.0,204,3529.096965
-21.0,196,3533.271528
-21.0,204,3537.704676
-21.0,196,3542.239395
-21.0,189,3548.3986
-20.0,223,3555.701006
-21.0,189,3564.233544
